Date,Open,High,Low,Close,Adj Close,Volume
2021-05-19,8.300000,8.420000,8.220000,8.340000,8.340000,449500
2021-05-20,8.400000,8.610000,8.290000,8.550000,8.550000,774000
2021-05-21,8.590000,8.640000,8.130000,8.230000,8.230000,710500
2021-05-24,8.260000,8.350000,7.980000,8.130000,8.130000,382400
2021-05-25,8.200000,8.210000,8.030000,8.100000,8.100000,364900
2021-05-26,8.230000,8.390000,8.070000,8.310000,8.310000,509600
2021-05-27,8.400000,8.580000,8.220000,8.570000,8.570000,1351100
2021-05-28,8.570000,8.960000,8.560000,8.880000,8.880000,1087900
2021-06-01,9.000000,9.330000,8.930000,9.110000,9.110000,1624900
2021-06-02,9.090000,9.330000,8.940000,9.070000,9.070000,1295500
2021-06-03,8.970000,9.480000,8.910000,9.370000,9.370000,2067200
2021-06-04,9.410000,9.990000,9.270000,9.930000,9.930000,1254200
2021-06-07,10.000000,10.430000,9.970000,10.210000,10.210000,1981200
2021-06-08,10.220000,10.340000,9.680000,9.770000,9.770000,1403600
2021-06-09,9.770000,10.390000,9.690000,10.210000,10.210000,988600
2021-06-10,10.300000,10.640000,10.080000,10.390000,10.390000,1173500
2021-06-11,10.280000,10.500000,9.890000,9.910000,9.910000,620000
2021-06-14,9.860000,10.250000,9.790000,10.100000,10.100000,920000
2021-06-15,10.040000,10.110000,9.750000,10.070000,10.070000,678000
2021-06-16,10.070000,10.340000,10.040000,10.220000,10.220000,639600
2021-06-17,10.160000,10.330000,9.890000,9.910000,9.910000,573300
2021-06-18,9.850000,9.870000,9.530000,9.670000,9.670000,1276800
2021-06-21,9.770000,9.770000,9.450000,9.450000,9.450000,362000
2021-06-22,9.500000,9.920000,9.320000,9.740000,9.740000,731100
2021-06-23,9.820000,10.030000,9.580000,9.580000,9.580000,645400
2021-06-24,9.580000,9.660000,9.470000,9.540000,9.540000,305700
2021-06-25,9.230000,9.320000,8.840000,9.200000,9.200000,1450600
2021-06-28,9.480000,9.540000,9.060000,9.160000,9.160000,859800
2021-06-29,9.180000,9.190000,8.660000,8.800000,8.800000,1063600
2021-06-30,8.750000,8.820000,8.530000,8.620000,8.620000,700000
2021-07-01,8.620000,8.690000,8.400000,8.500000,8.500000,869100
2021-07-02,8.510000,8.600000,8.310000,8.530000,8.530000,782700
2021-07-06,8.590000,8.640000,8.250000,8.310000,8.310000,709200
2021-07-07,8.250000,8.380000,8.170000,8.300000,8.300000,751500
